Name,Category,Description
jdk.AllocationRequiringGC,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",
jdk.BiasedLockClassRevocation,"{""Java Virtual Machine"", ""Runtime""}",Revoked biases for all instances of a class
jdk.BiasedLockRevocation,"{""Java Virtual Machine"", ""Runtime""}",Revoked bias of object
jdk.BiasedLockSelfRevocation,"{""Java Virtual Machine"", ""Runtime""}",Revoked bias of object biased towards own thread
jdk.BooleanFlag,"{""Java Virtual Machine"", ""Flag""}",
jdk.BooleanFlagChanged,"{""Java Virtual Machine"", ""Flag""}",
jdk.CPUInformation,"{""Operating System"", ""Processor""}",
jdk.CPULoad,"{""Operating System"", ""Processor""}",OS CPU Load
jdk.CPUTimeStampCounter,"{""Operating System"", ""Processor""}",
jdk.ClassDefine,"{""Java Virtual Machine"", ""Class Loading""}",
jdk.ClassLoad,"{""Java Virtual Machine"", ""Class Loading""}",
jdk.ClassLoaderStatistics,"{""Java Application"", ""Statistics""}",
jdk.ClassLoadingStatistics,"{""Java Application"", ""Statistics""}",
jdk.ClassRedefinition,"{""Java Virtual Machine"", ""Class Loading""}",
jdk.ClassUnload,"{""Java Virtual Machine"", ""Class Loading""}",
jdk.CodeCacheConfiguration,"{""Java Virtual Machine"", ""Code Cache""}",
jdk.CodeCacheFull,"{""Java Virtual Machine"", ""Code Cache""}",
jdk.CodeCacheStatistics,"{""Java Virtual Machine"", ""Code Cache""}",
jdk.CodeSweeperConfiguration,"{""Java Virtual Machine"", ""Code Sweeper""}",
jdk.CodeSweeperStatistics,"{""Java Virtual Machine"", ""Code Sweeper""}",
jdk.Compilation,"{""Java Virtual Machine"", ""Compiler""}",
jdk.CompilationFailure,"{""Java Virtual Machine"", ""Compiler""}",
"""jdk.CompilerConfiguration""","{""Java Virtual Machine"", ""Compiler""}",
jdk.CompilerInlining,"{""Java Virtual Machine"", ""Compiler"", ""Optimization""}",
jdk.CompilerPhase,"{""Java Virtual Machine"", ""Compiler""}",
jdk.CompilerStatistics,"{""Java Virtual Machine"", ""Compiler""}",
"""jdk.ConcurrentModeFailure""","{""Java Virtual Machine"", ""GC"", ""Detailed""}",Concurrent Mode failed
jdk.ContainerCPUThrottling,"{""Operating System"", ""Processor""}",Container CPU throttling related information
jdk.ContainerCPUUsage,"{""Operating System"", ""Processor""}",Container CPU usage related information
jdk.ContainerConfiguration,Operating System,A set of container specific attributes
jdk.ContainerIOUsage,"{""Operating System"", ""File System""}",Container IO usage related information
jdk.ContainerMemoryUsage,"{""Operating System"", ""Memory""}",Container memory usage related information
jdk.DataLoss,Flight Recorder,"Data could not be copied out from a buffer, typically because of contention"
jdk.Deoptimization,"{""Java Virtual Machine"", ""Compiler""}",
jdk.Deserialization,"{""Java Development Kit"", ""Serialization""}",Results of deserialization and ObjectInputFilter checks
