Name	Category	Description	Included
jdk.AllocationRequiringGC	{"Java Virtual Machine", "GC", "Detailed"}		TRUE
jdk.BiasedLockClassRevocation	{"Java Virtual Machine", "Runtime"}	Revoked biases for all instances of a class	TRUE
jdk.BiasedLockRevocation	{"Java Virtual Machine", "Runtime"}	Revoked bias of object	TRUE
jdk.BiasedLockSelfRevocation	{"Java Virtual Machine", "Runtime"}	Revoked bias of object biased towards own thread	TRUE
jdk.BooleanFlagChanged	{"Java Virtual Machine", "Flag"}		TRUE
jdk.ClassDefine	{"Java Virtual Machine", "Class Loading"}		TRUE
jdk.ClassLoad	{"Java Virtual Machine", "Class Loading"}		TRUE
jdk.ClassRedefinition	{"Java Virtual Machine", "Class Loading"}		TRUE
jdk.ClassUnload	{"Java Virtual Machine", "Class Loading"}		TRUE
jdk.CodeCacheFull	{"Java Virtual Machine", "Code Cache"}		TRUE
jdk.Compilation	{"Java Virtual Machine", "Compiler"}		TRUE
jdk.CompilationFailure	{"Java Virtual Machine", "Compiler"}		TRUE
jdk.CompilerInlining	{"Java Virtual Machine", "Compiler", "Optimization"}		TRUE
jdk.CompilerPhase	{"Java Virtual Machine", "Compiler"}		TRUE
"jdk.ConcurrentModeFailure"	{"Java Virtual Machine", "GC", "Detailed"}	Concurrent Mode failed	TRUE
jdk.DataLoss	Flight Recorder	Data could not be copied out from a buffer, typically because of contention	TRUE
jdk.Deoptimization	{"Java Virtual Machine", "Compiler"}		TRUE
jdk.Deserialization	{"Java Development Kit", "Serialization"}	Results of deserialization and ObjectInputFilter checks	TRUE
jdk.DoubleFlagChanged	{"Java Virtual Machine", "Flag"}		TRUE
jdk.DumpReason	Flight Recorder	Who requested the recording and why	TRUE
jdk.EvacuationFailed	{"Java Virtual Machine", "GC", "Detailed"}	Evacuation of an object failed	TRUE
jdk.ExecuteVMOperation	{"Java Virtual Machine", "Runtime"}	Execution of a VM Operation	TRUE
jdk.FileForce	Java Application	Force updates to be written to file	TRUE
jdk.FileRead	Java Application	Reading data from a file	TRUE
jdk.FileWrite	Java Application	Writing data to a file	TRUE
jdk.Flush	Flight Recorder		TRUE
jdk.HeapDump	{"Java Virtual Machine", "Diagnostics"}		TRUE
jdk.IntFlagChanged	{"Java Virtual Machine", "Flag"}		TRUE
jdk.JavaErrorThrow	Java Application	An object derived from java.lang.Error has been created. OutOfMemoryErrors are ignored	TRUE
jdk.JavaExceptionThrow	Java Application	An object derived from java.lang.Exception has been created	TRUE
jdk.JavaMonitorEnter	Java Application		TRUE
jdk.JavaMonitorInflate	Java Application	Java Monitor Inflated	TRUE
jdk.JavaMonitorWait	Java Application	Waiting on a Java monitor	TRUE
jdk.LongFlagChanged	{"Java Virtual Machine", "Flag"}		TRUE
jdk.MetaspaceAllocationFailure	{"Java Virtual Machine", "GC", "Metaspace"}		TRUE
jdk.MetaspaceGCThreshold	{"Java Virtual Machine", "GC", "Metaspace"}		TRUE
